Total	X1	X2	M1	M2	S1	S2
125	10	0	1.4344	0.2374	3.7253376	2.8069024
126	10	0	1.2444	0.3256	3.6039536	2.5628232
127	10.1	0	1.1772	0.2474	4.14515	2.3171628
128	10.9	0	1.0906	0.2634	3.5801716	2.6350288
129	10.9	0	1.6828	0.3174	5.4327858	5.2305522
130	11	0	1.3412	0.2398	3.790024	3.5553716
132	11	0	1.3496	0.2316	7.0328996	2.4377698
133	12.1	0	1.4832	0.4696	22.0922088	20.0697012
134	11.9	0	1.5876	0.2702	3.1987658	2.3221072
135	11.9	0	2.1894	0.2648	3.422906	2.84468
136	12	0	2.027	0.3908	7.1114502	8.8420402
137	12.1	0	1.2744	0.2714	4.2134536	2.972696
138	12.4	0	2.0606	0.2506	2.4261582	2.7043034
139	12.9	0	1.5448	0.292	3.9297362	3.4948968
140	12.9	0	1.3996	0.2386	3.6594356	2.1495352
141	12.9	0	2.1412	0.2666	4.6113554	3.457827
142	13	0	1.34	0.2798	7.321466	2.6865104
143	13.3	0	1.7148	0.2982	4.1274088	2.670356
144	13.9	0	1.891	0.3048	3.0867078	2.5604266
145	14	0	2.031	0.2686	3.9148436	2.8591356
146	14	0	1.6454	0.3216	3.6061274	2.8422842
147	13.9	0	1.7726	0.3606	6.5365062	6.9402924
148	14.4	0	1.9082	0.2648	3.654905	2.5729738
149	14.8	0	2.0532	0.3322	3.1553538	2.742072
150	14.9	0	1.5338	0.3014	3.4507564	2.847847
151	14.9	0	1.7572	0.2606	3.9349126	3.2483716
152	15.3	0	1.7194	0.287	3.3146808	2.8738952
153	15.2	0	2.558	0.2676	4.0329974	3.2547818
154	15.7	0	1.8288	0.3556	3.7156442	4.0367826
156	16.1	0	1.6514	0.283	3.7659222	3.4394474
157	16.1	0	2.0628	0.3002	7.6943174	7.5729088
159	16.7	0	2.429	0.2658	4.3285068	3.3003444
161	17.1	0	2.2802	0.2878	4.6667466	5.4106242
162	17.2	0	1.9176	0.3448	4.4019502	3.8357114
164	18.1	0	2.0204	0.326	3.5592668	3.8837242
165	17.9	0	1.767	0.2746	3.7698862	2.646145
168	17.1	0	1.98	0.2796	4.6267896	3.5545748
169	19.1	0	2.4682	0.3038	4.2147746	4.1237424
171	19	0.4	2.3052	0.4656	4.035507	4.3061768
172	19.7	0	2.0104	0.3134	4.2705634	2.7727952
174	19.9	0	2.4686	0.348	4.7822776	3.067336
175	20.1	0.6	2.273	0.339	4.5773136	5.0941338
176	20.4	0	2.3268	0.4304	5.2793942	3.6853442
177	20.9	0	3.3876	0.3674	4.5383412	2.7835424
178	20.9	0	3.364	0.3882	8.072111	6.2179344
180	21.1	0	2.6998	0.383	3.914506	3.3950508
182	21.7	0	2.3722	0.4122	5.4389278	4.6321126
