Total	S3	S4	S5	S6	S8
127	2.8658628	5.2561772	2.0434762	3.818611	5.1056524
128	2.8301564	35.756554	2.5781896	4.3338076	4.230221
129	2.1865858	11.3761684	1.3872864	3.4267826	3.341457
130	2.5991058	27.879344	2.2284302	3.5004932	5.5666968
132	2.0444354	4.9444326	1.442511	3.395042	3.4623856
133	15.7128032	24.6703576	16.198669	21.5979892	27.0007168
134	1.8486378	7.2539586	2.0378318	3.4447538	7.3040038
135	2.0833814	4.2824958	1.9831986	2.6554578	4.2566708
136	5.4527456	13.763505	5.2207608	6.1882084	11.1705844
137	2.8572564	4.4885596	2.976015	4.3799436	5.1604878
138	2.2438736	4.2267728	1.7758634	3.18974	3.649544
139	3.7924166	10.8834574	3.391633	3.7972538	8.1132714
140	2.8441746	5.0282634	2.9725836	3.9964884	4.491647
141	2.1637954	3.4853768	2.2198476	2.877997	31.2041772
142	2.8018296	6.1083356	2.3743032	3.626638	5.3812636
143	15.1815592	48.2009932	14.3777024	21.917031	25.1543726
144	2.1358498	5.2080974	1.4722102	2.6847498	4.9725948
145	2.2563314	6.0161836	2.1954562	3.9013504	4.414274
146	2.0442148	3.9592996	1.8001532	3.7433914	4.749385
147	2.7069204	4.0315272	1.8257674	3.4433482	4.818438
148	3.0105452	6.2157504	2.5451954	5.074626	8.8784216
149	2.0029296	3.8415874	1.8245692	3.3910564	4.8762622
150	2.8911952	6.9756912	2.5243972	4.243984	10.0827844
151	2.441428	6.6141148	2.9410248	4.435468	11.6467636
152	2.3259958	4.9061528	1.5758222	2.7510966	4.938104
153	16.4218376	186.8441744	15.0361892	23.9225622	26.5614666
154	2.6096126	14.9654298	2.0073454	3.2124858	6.1866812
156	2.616115	3.7662296	1.4260622	4.2583174	4.480531
157	2.6262994	42.9651752	1.5206204	5.3984926	4.426675
159	2.5799648	6.5566956	2.8427492	4.2693736	10.425368
161	3.8650086	27.0094568	1.876689	3.5556584	5.3593428
162	1.938608	5.8757246	2.2958392	4.2249184	7.7372388
164	15.9077352	27.9232084	15.9656612	21.630403	28.1643968
165	2.2312202	7.7556454	2.8118382	4.8336392	7.4261746
168	2.8237566	6.727381	1.9378056	3.5008194	6.3932112
169	2.8770774	9.1131834	2.2253414	5.102484	11.082995
171	2.7158028	33.6851112	1.9368868	5.163548	5.8958686
172	2.1731086	5.59143	1.8655692	3.741243	5.565199
174	16.7066628	30.1604328	16.9086628	25.6136354	28.3705756
175	3.0403496	28.7204186	3.1004208	5.2924892	15.3663156
176	2.0567366	4.830181	1.8529486	5.0027574	6.0030974
