Uniques	Duplicates	X1	M1	S1
110	41	14.9	1.7572	3.9349126
110	44	15.9	1.669	4.5318984
110	46	16.2	1.9658	4.1790304
110	49	16.7	2.429	4.3285068
110	5	8.5	1.5474	8.3297632
110	52	17.4	1.9388	4.2074932
110	55	17.9	1.767	3.7698862
110	8	9	1.116	5.9715454
120	12	11.2	2.2462	3.2891982
120	15	11.9	2.1894	3.422906
120	18	12.4	2.0606	2.4261582
120	21	12.9	2.1412	4.6113554
120	24	13.9	1.891	3.0867078
120	27	14	1.5852	3.5610376
120	3	10.8	1.7478	19.7714498
120	30	14.9	2.3348	4.402256
120	33	15.2	2.558	4.0329974
120	36	16.1	1.6514	3.7659222
120	39	16.9	3.162	4.1140152
120	42	17.2	2.4538	4.3421004
120	45	18.5	2.5832	4.5447812
120	48	17.1	1.98	4.6267896
120	51	19.4	2.8536	4.309623
120	54	19.9	2.4686	4.7822776
120	57	20.9	3.3876	4.5383412
120	6	10	1.8982	8.6516782
120	60	21.4	2.2962	4.148668
120	9	10.9	1.6828	5.4327858
130	13	13.3	1.7148	4.1274088
130	16	14	1.6454	3.6061274
130	19	14.8	2.0532	3.1553538
130	22	15.3	1.7194	3.3146808
130	26	16.1	2.084	3.0076104
130	29	16.9	1.9354	3.2812258
130	3	12.1	1.4832	22.0922088
130	32	17.2	1.9176	4.4019502
130	35	17.9	1.9558	3.5306776
130	39	19.1	2.4682	4.2147746
130	42	19.7	2.0104	4.2705634
130	45	20.5	3.0712	5.362648
130	48	21	2.3498	4.7622464
130	52	22.1	2.2738	4.6479592
130	55	22.9	2.196	4.5898064
130	58	23.8	2.282	4.7510656
130	6	12	2.027	7.1114502
130	61	23.9	2.6418	4.1425822
130	65	24.8	2.6986	5.034776
130	9	12.9	1.5448	3.9297362
140	10	15.1	1.965	3.5234458
140	14	15.7	1.8288	3.7156442
140	17	16.2	1.8972	3.0900768
140	21	17.3	2.181	4.9935536
140	24	18.1	2.0204	3.5592668
140	28	18.9	2.1056	5.1397916
140	3	14.5	1.7818	20.9440754
140	31	19	2.3052	4.035507
140	35	20.1	2.273	4.5773136
140	38	21.1	2.1728	4.7483288
140	42	21.7	2.3722	5.4389278
140	45	23.5	2.4446	4.0598412
140	49	24.2	2.5524	5.2482716
140	52	25.1	2.8946	5.6429116
140	56	25.8	2.5206	6.2679296
140	59	26	2.6196	5.3902136
140	63	27.1	2.843	5.319061
140	66	27.9	3.223	5.0181416
140	7	13.9	1.7726	6.5365062
140	70	29.3	3.3272	4.3952568
150	11	17.1	2.2802	4.6667466
150	15	18.1	2.2218	3.5041146
150	18	18.9	2.0976	3.1790152
150	22	19.7	2.4854	3.0813518
150	26	20.9	3.0402	3.5493796
150	3	16.6	1.9728	21.0996508
150	30	21.9	2.32	4.2195372
150	33	22.6	2.4042	4.8200016
150	37	23.7	2.5186	5.3947864
150	41	24.1	2.4942	4.7854302
150	45	24.9	2.7766	5.7435836
150	48	25.9	3.4368	5.7122144
150	52	27.1	2.7916	4.5104994
150	56	27.9	2.7694	5.7297736
150	60	29.5	3.0278	5.5362884
150	63	30.5	2.8592	5.6142208
150	67	31.5	3.1072	5.4018484
150	7	16.1	2.0628	7.6943174
150	71	32.1	3.2698	5.0527856
150	75	33.8	3.1332	10.0152496
160	12	19.9	2.5228	4.5057446
160	16	20.4	2.3268	5.2793942
160	20	21.1	2.6998	3.914506
160	24	22.1	2.5486	4.4660968
160	28	23.1	2.6536	4.6050042
160	32	24.2	2.6262	4.4810758
160	36	25.7	3.0902	8.2806294
160	4	19.6	2.1772	23.1884606
160	40	26.9	2.7296	5.8504208
160	44	28	3.1162	5.3768466
160	48	29.1	2.9744	6.4401624
160	52	30.6	2.9714	5.9382276
160	56	30.9	3.2948	6.2175224
160	60	32.3	3.1088	5.346644
160	64	33.4	3.3042	5.3544766
160	68	35.1	3.4474	5.7469232
160	72	36.1	3.3716	11.1400252
160	76	36.9	3.4698	5.8804456
160	8	18.9	2.2908	7.0097016
160	80	38.8	4.0628	4.5533134
170	12	22	3.1526	5.3528122
170	17	23.5	3.386	4.9904216
170	21	24	3.4222	4.6803034
170	25	24.9	3.2456	4.1977868
170	29	26.3	3.026	3.6084252
170	34	27.8	3.2788	4.3912616
170	38	28.9	3.4834	5.1754554
170	4	21.9	2.5776	21.8502622
170	42	30.2	4.1816	6.5735498
170	46	31	3.7164	6.0785098
170	51	32.3	3.3122	6.509398
170	55	34.6	3.7772	5.9481706
170	59	35.1	3.5066	5.5868992
170	63	36.2	3.4954	5.686392
170	68	38.1	4.2134	6.12664
170	72	38.9	3.7574	14.5502396
170	76	40.2	3.7872	4.889461
170	8	20.9	3.364	8.072111
170	80	42.1	4.3774	4.5250318
170	85	43.4	6.0108	3.6129944
180	13	24.9	3.624	4.476135
180	18	25.9	3.2666	3.8534286
180	22	27.1	4.6332	4.263503
180	27	28.3	3.7598	4.5272006
180	31	29.9	3.3696	3.7262292
180	36	31.2	3.4858	4.1183722
180	4	24.4	3.0934	22.8966764
180	40	32.3	3.6388	5.951888
180	45	33.8	3.7906	5.4538748
180	49	35.9	4.8368	5.7324288
180	54	36.4	4.4796	6.3684606
180	58	38.1	4.4354	5.7094564
180	63	39.1	5.2652	7.1419924
180	67	41	4.1432	5.6888248
180	72	42.7	4.4816	12.2750918
180	76	44.1	4.5294	7.7391904
180	81	45.7	4.2432	5.327093
180	85	46.9	4.6302	4.8174302
180	9	23.8	3.9376	13.8336252
180	90	48.8	4.5152	6.9859854
190	14	27.9	3.238	4.2790082
190	19	28.9	3.342	4.721393
190	23	29.9	3.8542	4.7007758
190	28	31.8	4.325	3.759813
190	33	33.9	4.0548	3.7932432
190	38	35.4	4.4728	3.748411
190	4	27.4	3.041	22.203261
190	42	35.9	4.1508	4.8440118
190	47	37.1	4.5604	7.5805176
190	52	38.8	4.2534	7.3119044
190	57	40.8	5.2546	7.4822544
190	61	42.8	5.419	6.4940418
